,Features,Importance
3,ap_hi,57.32153688189337
10,age_years,13.042098955017613
5,cholesterol,5.56658609349754
11,bmi,5.102696476532276
2,weight,4.844691068249922
1,height,3.6050320054546443
4,ap_lo,3.561620728853797
12,bp_category,2.877867473698663
6,gluc,1.4436894242518183
9,active,1.0889642254626364
0,gender,0.6348744613659267
7,smoke,0.5376042198082343
8,alco,0.3727379859135678
